id,BIC,LLS,model,best-param
0,693.1471805599449,-346.57359027997245,Random,[]
0,586.2213178627707,-290.0033548821742,WSLS,[0.533066126716141]
0,258.9501837156548,-123.2604837594052,RW,"[0.1148139013284631, 10.002824355887036]"
0,271.21273409583273,-123.17715085107199,RWCK,"[0.1202466945069815, 9.566449761525137, 3.0639822764085834e-05, 19.885320233722858]"
1,693.1471805599449,-346.57359027997245,Random,[]
1,624.3547367245212,-309.0700643130495,WSLS,[0.617234469071006]
1,323.1734864481616,-155.37213512565862,RW,"[0.021817869905498548, 11.14086122300006]"
1,333.29782264861353,-154.2196951274624,RWCK,"[0.03229925580624411, 8.45633198566752, 0.0006328664814544108, 5.206216393089279]"
2,693.1471805599449,-346.57359027997245,Random,[]
2,594.1566029807929,-293.9709974411853,WSLS,[0.5490982077775867]
2,224.36628342003843,-105.96853361159702,RW,"[0.17292880369078592, 10.723364383704347]"
2,229.03350584374726,-102.08753672502925,RWCK,"[0.1903671205320387, 7.741994599071705, 0.7153180308395742, 1.0]"
3,693.1471805599449,-346.57359027997245,Random,[]
3,575.8401080014227,-284.8127499515002,WSLS,[0.5130259716200655]
3,122.94297341579569,-55.256878609475656,RW,"[0.05985549973125987, 12.216559301789621]"
3,135.2350549260206,-55.188311266165925,RWCK,"[0.0685230235644966, 8.903231487694963, 0.30021199615326266, 1.0]"
4,693.1471805599449,-346.57359027997245,Random,[]
4,594.1566029807927,-293.97099744118526,WSLS,[0.5490981997080097]
4,215.83793623616174,-101.70436001965868,RW,"[0.06431631948689867, 12.52811503808153]"
4,229.78416408246528,-102.46286584438826,RWCK,"[0.08550448372277077, 8.760099883121278, 0.01897852239386141, 1.0]"
5,693.1471805599449,-346.57359027997245,Random,[]
5,588.2356515174943,-291.010521709536,WSLS,[0.537074147041665]
5,315.615732095536,-151.5932579493458,RW,"[0.1932351896471202, 8.200748105126875]"
5,330.9735537345359,-153.05756067042358,RWCK,"[0.26901722870918615, 5.645631403592777, 0.07099658397323107, 1.0]"
6,693.1471805599449,-346.57359027997245,Random,[]
6,567.1574382717,-280.4714150866389,WSLS,[0.49699399444427694]
6,295.8869271413389,-141.72885547224726,RW,"[0.1515634267060678, 9.639894823884873]"
6,311.1260672079593,-143.13381740713527,RWCK,"[0.21098181146462391, 6.6578575844910155, 0.08983916391907092, 1.0]"
7,693.1471805599449,-346.57359027997245,Random,[]
7,639.5581413704259,-316.67176663600185,WSLS,[0.6573146265144816]
7,400.7821210125542,-194.17645240785492,RW,"[0.06792950378539411, 9.462467799280562]"
